"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle","TemporalBaseline","PerpendicularBaseline","relativeBurstID","absoluteBurstID","fullBurstID","burstIndex","burstAnxTime","timeFromAnxSeconds","samplesPerBurst","subswath"
"S1A_IW_SLC__1SDV_20230114T062257_20230114T062325_046776_059B9B_E3C6","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46776","154","414","2023-01-14T06:23:25.000000","2023-01-14T06:22:57.000000","SLC","2023-01-14T06:22:57.000000","2023-01-14T06:23:25.000000","53.4439","-1.8616","54.055885","0.361204","54.469627","-3.593826","52.38829","-0.220697","52.79813","-4.020956","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230114T062257_20230114T062325_046776_059B9B_E3C6.zip","4619.409255981445","","","0","S1A_IWDV_0414_0419_046776_154","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230114T062232_20230114T062259_046776_059B9B_19FB","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46776","154","409","2023-01-14T06:22:59.000000","2023-01-14T06:22:32.000000","SLC","2023-01-14T06:22:32.000000","2023-01-14T06:22:59.000000","54.9557","-1.3965","55.535198","0.902264","55.953022","-3.201986","53.927158","0.31143","54.340309","-3.629549","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230114T062232_20230114T062259_046776_059B9B_19FB.zip","4280.70133972168","","","0","S1A_IWDV_0409_0414_046776_154","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230112T175029_20230112T175056_046754_059AE5_DCFA","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46754","132","172","2023-01-12T17:50:56.000000","2023-01-12T17:50:29.000000","SLC","2023-01-12T17:50:29.000000","2023-01-12T17:50:56.000000","53.8271","-1.0174","52.803413","-2.659638","53.208885","1.130796","54.411938","-3.226821","54.821331","0.714451","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230112T175029_20230112T175056_046754_059AE5_DCFA.zip","4306.082714080811","","","0","S1A_IWDV_0172_0178_046754_132","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230112T175005_20230112T175032_046754_059AE5_70D5","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46754","132","168","2023-01-12T17:50:32.000000","2023-01-12T17:50:05.000000","SLC","2023-01-12T17:50:05.000000","2023-01-12T17:50:32.000000","52.3438","-0.5727","51.321751","-2.161722","51.724319","1.501383","52.931942","-2.70287","53.337627","1.098688","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230112T175005_20230112T175032_046754_059AE5_70D5.zip","4476.425297737122","","","0","S1A_IWDV_0167_0173_046754_132","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230109T061503_20230109T061530_046703_059923_8858","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46703","81","418","2023-01-09T06:15:30.000000","2023-01-09T06:15:03.000000","SLC","2023-01-09T06:15:03.000000","2023-01-09T06:15:30.000000","52.3092","-0.1503","52.898216","2.001125","53.30854","-1.841762","51.281067","1.457358","51.688236","-2.245142","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230109T061503_20230109T061530_046703_059923_8858.zip","4481.2380266189575","","","0","S1A_IWDV_0418_0423_046703_081","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230109T061438_20230109T061505_046703_059923_376A","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46703","81","413","2023-01-09T06:15:05.000000","2023-01-09T06:14:38.000000","SLC","2023-01-09T06:14:38.000000","2023-01-09T06:15:05.000000","53.7927","0.2943","54.378021","2.525594","54.792099","-1.458465","52.763039","1.955839","53.173149","-1.875323","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230109T061438_20230109T061505_046703_059923_376A.zip","4139.667110443115","","","0","S1A_IWDV_0413_0418_046703_081","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230109T061412_20230109T061440_046703_059923_931D","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46703","81","408","2023-01-09T06:14:40.000000","2023-01-09T06:14:12.000000","SLC","2023-01-09T06:14:12.000000","2023-01-09T06:14:40.000000","55.3004","0.767","55.907822","3.097981","56.326736","-1.046197","54.242413","2.478556","54.656261","-1.492939","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230109T061412_20230109T061440_046703_059923_931D.zip","3956.014471054077","","","0","S1A_IWDV_0408_0413_046703_081","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230107T174227_20230107T174254_046681_059865_07CE","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46681","59","175","2023-01-07T17:42:54.000000","2023-01-07T17:42:27.000000","SLC","2023-01-07T17:42:27.000000","2023-01-07T17:42:54.000000","54.4705","0.8361","53.41642","-0.825752","53.824505","3.031377","55.081757","-1.426379","55.49432","2.593494","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230107T174227_20230107T174254_046681_059865_07CE.zip","3919.969690322876","","","0","S1A_IWDV_0174_0181_046681_059","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230107T174202_20230107T174229_046681_059865_ECB0","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46681","59","170","2023-01-07T17:42:29.000000","2023-01-07T17:42:02.000000","SLC","2023-01-07T17:42:02.000000","2023-01-07T17:42:29.000000","52.9586","1.2968","51.935017","-0.318875","52.339954","3.406373","53.544895","-0.870875","53.953293","2.99824","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230107T174202_20230107T174229_046681_059865_ECB0.zip","3965.7510719299316","","","0","S1A_IWDV_0169_0176_046681_059","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230102T062258_20230102T062326_046601_0595BA_B013","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46601","154","414","2023-01-02T06:23:26.000000","2023-01-02T06:22:58.000000","SLC","2023-01-02T06:22:58.000000","2023-01-02T06:23:26.000000","53.4438","-1.8639","54.055824","0.358965","54.469521","-3.596079","52.388103","-0.222919","52.797894","-4.023179","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230102T062258_20230102T062326_046601_0595BA_B013.zip","4527.209510803223","","","0","S1A_IWDV_0413_0420_046601_154","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230102T062233_20230102T062300_046601_0595BA_C8A1","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46601","154","409","2023-01-02T06:23:00.000000","2023-01-02T06:22:33.000000","SLC","2023-01-02T06:22:33.000000","2023-01-02T06:23:00.000000","54.9555","-1.3989","55.534904","0.899819","55.952671","-3.204397","53.927105","0.30914","54.340202","-3.631829","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230102T062233_20230102T062300_046601_0595BA_C8A1.zip","4159.384062767029","","","0","S1A_IWDV_0409_0414_046601_154","","","","","","","","","","",""
